,smoking_status
0,Non-Smoker
1,Non-Smoker
2,Non-Smoker
3,Non-Smoker
4,Non-Smoker
5,Non-Smoker
6,Non-Smoker
7,Smoker
8,Non-Smoker
9,Non-Smoker
10,Non-Smoker
11,Non-Smoker
12,Smoker
13,Non-Smoker
14,Non-Smoker
15,Non-Smoker
16,Non-Smoker
17,Non-Smoker
18,Non-Smoker
19,Non-Smoker
20,Smoker
21,Non-Smoker
22,Non-Smoker
23,Non-Smoker
24,Non-Smoker
25,Non-Smoker
26,Non-Smoker
27,Non-Smoker
28,Non-Smoker
29,Non-Smoker
30,Non-Smoker
31,Non-Smoker
32,Non-Smoker
33,Non-Smoker
34,Non-Smoker
35,Non-Smoker
36,Non-Smoker
37,Smoker
38,Non-Smoker
39,Smoker
40,Non-Smoker
41,Non-Smoker
42,Non-Smoker
43,Non-Smoker
44,Non-Smoker
45,Non-Smoker
46,Non-Smoker
47,Non-Smoker
48,Non-Smoker
49,Non-Smoker
50,Non-Smoker
51,Non-Smoker
52,Smoker
53,Non-Smoker
54,Non-Smoker
55,Non-Smoker
56,Non-Smoker
57,Non-Smoker
58,Non-Smoker
59,Non-Smoker
60,Non-Smoker
61,Non-Smoker
62,Non-Smoker
63,Non-Smoker
64,Non-Smoker
65,Non-Smoker
66,Non-Smoker
67,Non-Smoker
68,Non-Smoker
69,Non-Smoker
70,Non-Smoker
71,Non-Smoker
72,Non-Smoker
73,Smoker
74,Non-Smoker
75,Non-Smoker
76,Smoker
77,Non-Smoker
78,Non-Smoker
79,Non-Smoker
80,Non-Smoker
81,Non-Smoker
82,Non-Smoker
83,Non-Smoker
84,Non-Smoker
85,Non-Smoker
86,Non-Smoker
87,Non-Smoker
88,Non-Smoker
89,Non-Smoker
90,Non-Smoker
91,Non-Smoker
92,Non-Smoker
93,Smoker
94,Non-Smoker
95,Non-Smoker
96,Non-Smoker
97,Non-Smoker
98,Non-Smoker
99,Non-Smoker
100,Non-Smoker
101,Non-Smoker
102,Non-Smoker
103,Non-Smoker
104,Non-Smoker
105,Smoker
106,Non-Smoker
107,Non-Smoker
108,Non-Smoker
109,Non-Smoker
110,Non-Smoker
111,Non-Smoker
112,Non-Smoker
113,Smoker
114,Non-Smoker
115,Non-Smoker
116,Non-Smoker
117,Non-Smoker
118,Non-Smoker
119,Non-Smoker
120,Smoker
121,Non-Smoker
122,Non-Smoker
123,Non-Smoker
124,Non-Smoker
125,Non-Smoker
126,Non-Smoker
127,Non-Smoker
128,Non-Smoker
129,Non-Smoker
130,Non-Smoker
131,Non-Smoker
132,Non-Smoker
133,Non-Smoker
134,Non-Smoker
135,Non-Smoker
136,Non-Smoker
137,Non-Smoker
138,Non-Smoker
139,Non-Smoker
140,Non-Smoker
141,Non-Smoker
142,Non-Smoker
143,Non-Smoker
144,Smoker
145,Smoker
146,Non-Smoker
147,Non-Smoker
148,Non-Smoker
149,Smoker
150,Non-Smoker
151,Non-Smoker
152,Non-Smoker
153,Non-Smoker
154,Non-Smoker
155,Non-Smoker
156,Non-Smoker
157,Non-Smoker
158,Non-Smoker
159,Non-Smoker
160,Non-Smoker
161,Non-Smoker
162,Non-Smoker
163,Non-Smoker
164,Smoker
165,Smoker
166,Non-Smoker
167,Non-Smoker
168,Non-Smoker
169,Non-Smoker
170,Non-Smoker
171,Non-Smoker
172,Non-Smoker
173,Non-Smoker
174,Non-Smoker
175,Non-Smoker
176,Non-Smoker
177,Non-Smoker
178,Non-Smoker
179,Non-Smoker
180,Non-Smoker
181,Smoker
182,Non-Smoker
183,Non-Smoker
184,Non-Smoker
185,Non-Smoker
186,Non-Smoker
187,Non-Smoker
188,Non-Smoker
189,Non-Smoker
190,Non-Smoker
191,Non-Smoker
192,Non-Smoker
193,Non-Smoker
194,Non-Smoker
195,Non-Smoker
196,Non-Smoker
197,Non-Smoker
198,Non-Smoker
199,Non-Smoker
200,Non-Smoker
201,Non-Smoker
202,Non-Smoker
203,Non-Smoker
204,Non-Smoker
205,Non-Smoker
206,Non-Smoker
207,Non-Smoker
208,Smoker
209,Non-Smoker
210,Non-Smoker
211,Non-Smoker
212,Non-Smoker
213,Non-Smoker
214,Non-Smoker
215,Non-Smoker
216,Non-Smoker
217,Non-Smoker
218,Non-Smoker
219,Non-Smoker
220,Non-Smoker
221,Non-Smoker
222,Non-Smoker
223,Non-Smoker
224,Non-Smoker
225,Non-Smoker
226,Non-Smoker
227,Non-Smoker
228,Non-Smoker
229,Non-Smoker
230,Non-Smoker
231,Non-Smoker
232,Non-Smoker
233,Non-Smoker
234,Non-Smoker
235,Non-Smoker
236,Non-Smoker
237,Non-Smoker
238,Non-Smoker
239,Non-Smoker
240,Non-Smoker
241,Non-Smoker
242,Non-Smoker
243,Non-Smoker
244,Smoker
245,Non-Smoker
246,Non-Smoker
247,Non-Smoker
248,Non-Smoker
249,Non-Smoker
250,Non-Smoker
251,Non-Smoker
252,Non-Smoker
253,Non-Smoker
254,Non-Smoker
255,Non-Smoker
256,Non-Smoker
257,Non-Smoker
258,Smoker
259,Smoker
260,Non-Smoker
261,Non-Smoker
262,Smoker
263,Non-Smoker
264,Non-Smoker
265,Non-Smoker
266,Non-Smoker
267,Non-Smoker
268,Non-Smoker
269,Non-Smoker
270,Non-Smoker
271,Non-Smoker
272,Smoker
273,Non-Smoker
274,Non-Smoker
275,Non-Smoker
276,Non-Smoker
277,Non-Smoker
278,Non-Smoker
279,Non-Smoker
280,Non-Smoker
281,Non-Smoker
282,Non-Smoker
283,Non-Smoker
284,Non-Smoker
285,Non-Smoker
286,Non-Smoker
287,Non-Smoker
288,Non-Smoker
289,Non-Smoker
290,Non-Smoker
291,Non-Smoker
292,Non-Smoker
293,Non-Smoker
294,Non-Smoker
295,Non-Smoker
296,Non-Smoker
297,Non-Smoker
298,Non-Smoker
299,Non-Smoker
300,Non-Smoker
301,Smoker
302,Non-Smoker
303,Non-Smoker
304,Smoker
305,Non-Smoker
306,Non-Smoker
307,Non-Smoker
308,Non-Smoker
309,Non-Smoker
310,Non-Smoker
311,Non-Smoker
312,Smoker
313,Non-Smoker
314,Smoker
315,Non-Smoker
316,Non-Smoker
317,Non-Smoker
318,Non-Smoker
319,Non-Smoker
320,Smoker
321,Non-Smoker
322,Non-Smoker
323,Non-Smoker
324,Non-Smoker
325,Non-Smoker
326,Non-Smoker
327,Non-Smoker
328,Non-Smoker
329,Non-Smoker
330,Non-Smoker
331,Non-Smoker
332,Non-Smoker
333,Non-Smoker
334,Smoker
335,Non-Smoker
336,Non-Smoker
337,Non-Smoker
338,Non-Smoker
339,Non-Smoker
340,Smoker
341,Non-Smoker
342,Smoker
343,Smoker
344,Non-Smoker
345,Non-Smoker
346,Non-Smoker
347,Non-Smoker
348,Smoker
349,Non-Smoker
350,Non-Smoker
351,Non-Smoker
352,Non-Smoker
353,Non-Smoker
354,Non-Smoker
355,Non-Smoker
356,Non-Smoker
357,Non-Smoker
358,Non-Smoker
359,Non-Smoker
360,Non-Smoker
361,Non-Smoker
362,Non-Smoker
363,Non-Smoker
364,Non-Smoker
365,Non-Smoker
366,Non-Smoker
367,Non-Smoker
368,Non-Smoker
369,Non-Smoker
370,Non-Smoker
371,Non-Smoker
372,Non-Smoker
373,Non-Smoker
374,Non-Smoker
375,Non-Smoker
376,Smoker
377,Non-Smoker
378,Non-Smoker
379,Non-Smoker
380,Non-Smoker
381,Non-Smoker
382,Non-Smoker
383,Non-Smoker
384,Non-Smoker
385,Non-Smoker
386,Non-Smoker
387,Non-Smoker
388,Smoker
389,Non-Smoker
390,Non-Smoker
391,Non-Smoker
392,Non-Smoker
393,Non-Smoker
394,Non-Smoker
395,Non-Smoker
396,Non-Smoker
397,Non-Smoker
398,Non-Smoker
399,Non-Smoker
400,Non-Smoker
401,Non-Smoker
402,Non-Smoker
403,Non-Smoker
404,Non-Smoker
405,Non-Smoker
406,Non-Smoker
407,Smoker
408,Non-Smoker
409,Non-Smoker
410,Non-Smoker
411,Non-Smoker
412,Non-Smoker
413,Non-Smoker
414,Non-Smoker
415,Non-Smoker
416,Non-Smoker
417,Non-Smoker
418,Non-Smoker
419,Non-Smoker
420,Smoker
421,Non-Smoker
422,Non-Smoker
423,Non-Smoker
424,Non-Smoker
425,Non-Smoker
426,Non-Smoker
427,Smoker
428,Non-Smoker
429,Non-Smoker
430,Non-Smoker
431,Non-Smoker
432,Non-Smoker
433,Non-Smoker
434,Non-Smoker
435,Non-Smoker
436,Non-Smoker
437,Non-Smoker
438,Non-Smoker
439,Non-Smoker
440,Non-Smoker
441,Non-Smoker
442,Non-Smoker
443,Non-Smoker
444,Non-Smoker
445,Non-Smoker
446,Non-Smoker
447,Non-Smoker
448,Non-Smoker
449,Non-Smoker
450,Non-Smoker
451,Non-Smoker
452,Non-Smoker
453,Smoker
454,Non-Smoker
455,Non-Smoker
456,Non-Smoker
457,Non-Smoker
458,Smoker
459,Non-Smoker
460,Non-Smoker
461,Non-Smoker
462,Non-Smoker
463,Non-Smoker
464,Non-Smoker
465,Non-Smoker
466,Non-Smoker
467,Non-Smoker
468,Non-Smoker
469,Non-Smoker
470,Non-Smoker
471,Non-Smoker
472,Non-Smoker
473,Non-Smoker
474,Smoker
475,Non-Smoker
476,Non-Smoker
477,Non-Smoker
478,Non-Smoker
479,Non-Smoker
480,Non-Smoker
481,Non-Smoker
482,Smoker
483,Non-Smoker
484,Non-Smoker
485,Non-Smoker
486,Non-Smoker
487,Non-Smoker
488,Non-Smoker
489,Non-Smoker
490,Non-Smoker
491,Non-Smoker
492,Smoker
493,Non-Smoker
494,Non-Smoker
495,Non-Smoker
496,Non-Smoker
497,Non-Smoker
498,Non-Smoker
499,Non-Smoker
500,Non-Smoker
501,Smoker
502,Smoker
503,Smoker
504,Non-Smoker
505,Non-Smoker
506,Non-Smoker
507,Non-Smoker
508,Non-Smoker
509,Non-Smoker
510,Non-Smoker
511,Smoker
512,Non-Smoker
513,Non-Smoker
514,Non-Smoker
515,Non-Smoker
516,Non-Smoker
517,Non-Smoker
