UMAP1,UMAP2
5.3320394,-10.907949
5.332559,-10.9074545
5.330423,-10.909341
5.3335595,-10.906083
5.306268,-10.934823
5.33353,-10.907625
5.341628,-10.901151
5.341733,-10.901226
5.3444147,-10.89938
5.347577,-10.896862
5.358716,-10.888355
5.363413,-10.884271
5.372615,-10.877028
5.376758,-10.872498
5.381303,-10.866901
5.3855777,-10.865678
5.390932,-10.860159
5.4027605,-10.853181
5.406138,-10.851064
5.4118633,-10.845433
5.419649,-10.8416815
5.4338946,-10.831517
5.4400206,-10.828075
5.4525456,-10.820184
5.4608083,-10.816705
5.471834,-10.811695
5.491036,-10.807289
5.502781,-10.801375
5.508835,-10.798862
5.502505,-10.811725
5.5383162,-10.785849
5.5773654,-10.74764
5.549434,-10.781635
5.5765266,-10.7736
5.5879188,-10.767742
5.612114,-10.760251
5.6281404,-10.755941
5.642914,-10.751599
5.6642275,-10.74696
5.691385,-10.741332
5.70222,-10.735874
5.7272315,-10.734359
5.763207,-10.730326
5.8270917,-10.723882
5.8427644,-10.722343
5.8511195,-10.722114
5.8726797,-10.719785
5.9007263,-10.719063
5.9178486,-10.721239
5.935481,-10.72096
5.9978404,-10.719325
6.0159235,-10.717194
6.029594,-10.720618
6.0616107,-10.722055
6.0941825,-10.725617
6.1136613,-10.727639
6.1278663,-10.729155
6.1667147,-10.737975
6.1873984,-10.735413
6.232302,-10.741753
6.240123,-10.743116
6.2897716,-10.750615
6.2877975,-10.750592
6.3123784,-10.754458
6.387729,-10.76871
6.412775,-10.773689
6.4462204,-10.779991
6.434731,-10.777454
6.506286,-10.79295
6.546641,-10.801153
6.5262537,-10.797317
6.5997524,-10.812137
6.612818,-10.815788
6.6422358,-10.82164
6.6809845,-10.834462
6.7021127,-10.835173
6.7248607,-10.838642
6.754745,-10.842786
6.776457,-10.846686
6.7996535,-10.851328
6.845242,-10.858404
6.9089313,-10.869442
6.869892,-10.86064
6.944269,-10.871371
6.955163,-10.872165
6.979537,-10.873866
6.9806995,-10.867295
7.069939,-10.88604
7.111934,-10.89083
7.1418743,-10.893766
7.175539,-10.898201
7.1852365,-10.898794
7.232862,-10.904927
7.290051,-10.913214
7.2983675,-10.913452
7.3325987,-10.917501
7.3789873,-10.923459
7.3959236,-10.925449
7.4691024,-10.935153
7.5242486,-10.941677
7.5467997,-10.9450445
7.5682826,-10.947079
